id,name,ean,cleaned_name,audio_file
1,CALIERCORTIN 4mg/ml- 50ml iny,8422320327704.0,CALIERCORTIN 4miligramos por mililitros  50mililitros iny,audios\CALIERCORTIN_4miligramos_por_mililitros__50mililitros_iny.mp3
12,"ADTAB GATO 12mg 0,5-2kg 1cp",5420036974352.0,ADTAB GATO 12miligramos 0.5 2kg 1cp,audios\ADTAB_GATO_12miligramos_05_2kg_1cp.mp3
23,ADTAB GATO 48mg 2-8kg 1cp,5420036974369.0,ADTAB GATO 48miligramos 2 8kg 1cp,audios\ADTAB_GATO_48miligramos_2_8kg_1cp.mp3
34,NICILAN 200/50 120cp,8437002582937.0,NICILAN 200 por 50 120cp,audios\NICILAN_200_por_50_120cp.mp3
45,"FORTEKOR SABOR 2,5mg- 28cp",5703188222596.0,FORTEKOR SABOR 2.5miligramos  28cp,audios\FORTEKOR_SABOR_25miligramos__28cp.mp3
56,CONOFITE 20ml,5703188222589.0,CONOFITE 20mililitros,audios\CONOFITE_20mililitros.mp3
67,OTOCLEAN LIMPIADOR- OTOLOGICO 18x5ml,5703188222602.0,OTOCLEAN LIMPIADOR  OTOLOGICO 18 por 5mililitros,audios\OTOCLEAN_LIMPIADOR__OTOLOGICO_18_por_5mililitros.mp3
78,OXISPEED 60cp,8713184013903.0,OXISPEED 60cp,audios\OXISPEED_60cp.mp3
89,OTINET 125ml,3661103002123.0,OTINET 125mililitros,audios\OTINET_125mililitros.mp3
100,IRC-VET 60cp,5701170313291.0,IRC VET 60cp,audios\IRC_VET_60cp.mp3
111,PAÑO BUSTER POLIETILENO- 90x120cm,5701170440836.0,PAÑO BUSTER POLIETILENO  90 por 120cm,audios\PAÑO_BUSTER_POLIETILENO__90_por_120cm.mp3
122,PAÑO BUSTER POLIETILENO- 60x90cm,8410357308629.0,PAÑO BUSTER POLIETILENO  60 por 90cm,audios\PAÑO_BUSTER_POLIETILENO__60_por_90cm.mp3
133,PAÑO BUSTER POLIETILENO- 120x120cm,8713184000651.0,PAÑO BUSTER POLIETILENO  120 por 120cm,audios\PAÑO_BUSTER_POLIETILENO__120_por_120cm.mp3
144,"CANINSULIN 10x2,50ml-",8713184000484.0,CANINSULIN 10 por 2.50mililitros ,audios\CANINSULIN_10_por_250mililitros_.mp3
155,GLUCANTIME 5x5ml,8436529621297.0,GLUCANTIME 5 por 5mililitros,audios\GLUCANTIME_5_por_5mililitros.mp3
166,LUBRITHAL 10gr,8436025707150.0,LUBRITHAL 10gr,audios\LUBRITHAL_10gr.mp3
177,CLEAN AURAL CANINO 100ml,,CLEAN AURAL CANINO 100mililitros,audios\CLEAN_AURAL_CANINO_100mililitros.mp3
188,T-61 50ml iny,,T 61 50mililitros iny,audios\T_61_50mililitros_iny.mp3
199,SCALIBOR GDE 65cm,,SCALIBOR GDE 65cm,audios\SCALIBOR_GDE_65cm.mp3
210,SCALIBOR PEQ 48cm,,SCALIBOR PEQ 48cm,audios\SCALIBOR_PEQ_48cm.mp3
221,DEXABIOPEN 100ml,4022495250827.0,DEXABIOPEN 100mililitros,audios\DEXABIOPEN_100mililitros.mp3
232,DEPO-MODERIN 5ml,4022495787521.0,DEPO MODERIN 5mililitros,audios\DEPO_MODERIN_5mililitros.mp3
243,CONTENEDOR PARA- MUESTRAS 150ml,4030539122641.0,CONTENEDOR PARA  MUESTRAS 150mililitros,audios\CONTENEDOR_PARA__MUESTRAS_150mililitros.mp3
254,"AGUJA STERICAN AMARILLA-20G 0,9X25mm100u",4049500976268.0,AGUJA STERICAN AMARILLA 20G 0.9X25mm100u,audios\AGUJA_STERICAN_AMARILLA_20G_09X25mm100u.mp3
265,"AGUJA STERICAN AZUL 23G- 0,6x25mm 100un",4052199515274.0,AGUJA STERICAN AZUL 23G  0.6 por 25mm 100un,audios\AGUJA_STERICAN_AZUL_23G__06_por_25mm_100un.mp3
